Ticket_ID,Customer_ID,Created_Date,Created_Time,Channel,Category,Sub_Category,Priority,Agent_ID,Customer_City,Customer_Type,Ticket_Status,First_Response_Minutes,Resolution_Hours,Reopened,Escalated,CSAT_Score,Resolved_Date,Resolved_Time
TKT000001,CUST01777,07-01-2026 00:00,00-01-1900 11:58,Social Media,Delivery,Late Delivery,Medium,AG012,Pune,Returning,Closed,67,10.65,No,Yes,4,07-01-2026 00:00,00-01-1900 22:37
TKT000002,CUST03295,28-06-2026 00:00,00-01-1900 21:24,Email,Delivery,Late Delivery,High,AG013,Chennai,Returning,Closed,60,4.24,No,No,5,29-06-2026 00:00,00-01-1900 01:39
TKT000003,CUST04245,06-02-2026 00:00,00-01-1900 19:35,Phone,Delivery,Wrong Address,Low,AG014,Hyderabad,Returning,Closed,89,20.88,No,No,5,07-02-2026 00:00,00-01-1900 16:28
TKT000004,CUST03601,22-01-2026 00:00,00-01-1900 23:08,Chat,Technical,Page Not Loading,Medium,AG033,Chennai,New,Closed,55,17.98,No,No,5,23-01-2026 00:00,00-01-1900 17:07
TKT000005,CUST02696,16-04-2026 00:00,00-01-1900 05:52,Email,Payment,Payment Failed,High,AG008,Chennai,New,Closed,37,7.24,No,No,4,16-04-2026 00:00,00-01-1900 13:06
TKT000006,CUST04277,09-03-2026 00:00,00-01-1900 08:57,Chat,Delivery,Wrong Address,Medium,AG011,Delhi,New,Closed,42,5.29,No,No,5,09-03-2026 00:00,00-01-1900 14:14
TKT000007,CUST00403,10-02-2026 00:00,00-01-1900 05:19,Chat,Refund,Refund Rejected,Medium,AG008,Bengaluru,Returning,Closed,46,10.22,No,No,4,10-02-2026 00:00,00-01-1900 15:32
TKT000008,CUST02767,05-04-2026 00:00,00-01-1900 12:37,Chat,Delivery,Wrong Address,Low,AG012,Pune,Returning,Closed,76,35.51,No,No,5,07-04-2026 00:00,00-01-1900 00:08
TKT000009,CUST03035,10-06-2026 00:00,00-01-1900 15:39,Chat,Payment,Payment Failed,Medium,AG002,Mumbai,Returning,Closed,35,18.81,No,No,4,11-06-2026 00:00,00-01-1900 10:28
TKT000010,CUST02118,17-02-2026 00:00,00-01-1900 15:42,Email,Payment,Duplicate Charge,Low,AG002,Hyderabad,Returning,Closed,201,19.79,No,No,4,18-02-2026 00:00,00-01-1900 11:29
TKT000011,CUST01584,25-05-2026 00:00,00-01-1900 16:04,Chat,Product,Missing Item,Low,AG024,Mumbai,Returning,Closed,233,21.01,No,No,5,26-05-2026 00:00,00-01-1900 13:04
TKT000012,CUST00696,05-01-2026 00:00,00-01-1900 11:54,Social Media,Delivery,Tracking Issue,Medium,AG012,Hyderabad,Returning,Closed,88,12.5,No,Yes,4,06-01-2026 00:00,00-01-1900 00:24
TKT000013,CUST04232,04-04-2026 00:00,00-01-1900 18:21,Chat,Cancellation,Order Cancellation,Medium,AG014,Chennai,Returning,Pending,54,,No,No,,,
TKT000014,CUST02414,20-04-2026 00:00,00-01-1900 12:17,Email,Cancellation,Seller Cancellation,Medium,AG010,Delhi,Returning,Closed,97,11.41,No,No,5,20-04-2026 00:00,00-01-1900 23:42
TKT000015,CUST03160,13-03-2026 00:00,00-01-1900 05:12,Chat,Payment,Payment Failed,High,AG007,Hyderabad,Premium,Closed,23,5.54,No,No,4,13-03-2026 00:00,00-01-1900 10:45
TKT000016,CUST01111,29-01-2026 00:00,00-01-1900 08:22,Social Media,Payment,Payment Failed,High,AG003,Bengaluru,Premium,Closed,41,6.08,No,No,5,29-01-2026 00:00,00-01-1900 14:26
TKT000017,CUST02375,25-04-2026 00:00,00-01-1900 08:43,Email,Refund,Refund Delayed,Medium,AG001,Hyderabad,Returning,Closed,156,62.76,No,No,3,27-04-2026 00:00,00-01-1900 23:28
TKT000018,CUST02089,08-01-2026 00:00,00-01-1900 19:46,Email,Delivery,Wrong Address,Medium,AG013,Chennai,Premium,Closed,93,21.01,No,No,,09-01-2026 00:00,00-01-1900 16:47
TKT000019,CUST00224,22-01-2026 00:00,00-01-1900 00:25,Email,Account,Profile Update,Medium,AG036,Chennai,Returning,Closed,68,17.37,No,No,5,22-01-2026 00:00,00-01-1900 17:47
TKT000020,CUST02656,25-02-2026 00:00,00-01-1900 14:53,Chat,Delivery,Missing Order,High,AG011,Bengaluru,Returning,Closed,16,3.62,No,No,4,25-02-2026 00:00,00-01-1900 18:30
TKT000021,CUST02580,27-01-2026 00:00,00-01-1900 13:50,Social Media,Delivery,Wrong Address,Critical,AG012,Delhi,Returning,Closed,21,2.26,No,No,5,27-01-2026 00:00,00-01-1900 16:06
